BUCK CREEK               B102020043002SNOWA               COLBY               02000V999999999999999920210416
HONEY CREEK              D122020050111SNOWB               COLBY               13200M999999999999999920210417
ISLAND VIEW              N142020040510SNOWC               COLBY               14000A999999999999999920210418
SOME CREK                1ABDSLAKFHL13SNOW1               COLBY                   BCDDOR            JLK     
HONEY CREEK              D122020020111SNOW2               COLBY               12300M999999999999999920200312
                         A0020201300CO                                        00000 000000000000000020211300
ISLAND VIEW              N142020043110SNOW3               COLBY               14000A999999999999999920210431
ISLAND VIEW              N142020035410SNOW4               COLBY               14000A999999999999999920210354
ISLAND VIEW              N142022023005SNOW5               COLBY               14000A999999999999999920220230
ISLAND VIEW              N142021022905SNOW6               COLBY               14000A999999999999999920210229
